Country_Name,Tech_value_added,R&D_exp,Ind_design,Ut_model,Trademark,Patent,High-tech exp,UNCTAD_class,Payments_IP_r,Payments_IP_p,FDI,Researchers
Angola,3.4,,46,,5,180,80,77,204,455,least developed country,,222,726,990.0,-6,598,652,652.1,
Albania,6.3,,152,1,3,191,21,886,411,developed economy,13222816.7,31,727,566.8,1,441,381,891.4,
United Arab Emirates,40.8,1.5,902,9,32,235,2,848,32,113,488,119,developing economy,,,22,736,555,479.9,2,666
Argentina,28.6,0.5,2,230,200,88,838,3,576,663,679,612,developing economy,204704856.7,1,761,243,242.3,15,408,346,793.7,1,284
Armenia,8.3,0.2,164,84,5,535,34,476,798,137,developing economy,,,998,055,425.4,
Australia,31.3,,7,860,262,76,646,32,284,7,759,351,128,developed economy,1273308022.4,4,145,505,610.9,70,084,936,395.4,
Austria,44.8,3.3,370,344,7,068,1,887,26,998,954,256,developed economy,1680848563.8,1,849,911,177.9,10,114,413,567.4,6,342
Azerbaijan,13.0,0.2,184,27,7,189,213,49,457,683,developing economy,3384000.0,198,087,000.0,-4,474,481,000.0,1,729
Belgium,53.1,3.4,,,,1,207,65,782,548,564,developed economy,4076074549.5,3,531,671,696.8,12,484,998,787.4,6,582
Bangladesh,7.8,,1,296,,13,687,418,,least developed country,3758746.3,49,515,537.1,1,634,888,030.4,
Bulgaria,32.3,0.8,143,214,4,460,171,2,248,380,615,developed economy,291840000.0,266,370,000.0,3,216,630,000.0,2,339
Bahrain,24.6,,88,,7,425,489,18,152,069,developing economy,,,1,951,329,787.2,
Bosnia and Herzegovina,18.6,0.2,196,,3,444,51,342,055,996,developed economy,6635653.1,15,733,082.0,797,783,244.9,443
Belarus,37.8,0.5,271,312,6,056,342,856,741,805,developed economy,123842510.0,248,656,400.0,1,613,025,743.4,1,394
Belize,18.5,,,,934,32,17,developing economy,,12,679,939.7,140,907,967.6,
Bolivia,11.9,,89,10,8,558,226,35,257,665,developing economy,1672885.0,25,194,145.0,2,849,849.4,
Brazil,30.7,1.1,7,196,2,276,386,805,24,759,7,651,750,559,developing economy,745138504.7,7,299,729,724.1,74,606,361,830.2,
Brunei Darussalam,3.3,,,,1,709,155,28,422,229,developing economy,,6,142,326.2,-292,416,275.5,
Botswana,28.7,,,,1,738,13,38,743,818,developing economy,529483.3,117,601,953.1,216,459,291.1,
Canada,34.9,1.7,6,845,,70,583,38,052,303,335,008,047,developed economy,7736160393.5,16,084,368,732.7,49,984,660,121.9,5,076
Switzerland,68.0,3.4,2,614,,33,922,1,546,77,973,722,315,developed economy,30778890909.0,32,067,022,348.4,-10,988,929,763.8,6,023
Chile,20.4,0.3,506,115,42,311,3,136,1,270,023,182,developing economy,65404498.4,1,324,660,663.6,20,864,902,958.2,519
China,41.5,2.4,796,211,2,950,653,29,432,1,619,268,769,699,283,036,developing economy,13304772071.0,44,474,106,058.3,180,166,881,345.0,1,687
Colombia,24.9,0.3,925,182,44,948,3,032,883,404,294,developing economy,162054820.6,1,597,592,103.4,17,182,521,349.9,
Cabo Verde,27.1,,1,,508,3,20,796,developing economy,29645.5,1,211,734.0,121,843,587.6,
Costa Rica,14.2,0.3,64,5,11,391,586,1,921,488,086,developing economy,7259197.6,743,019,289.3,3,673,404,329.0,399
Cuba,16.2,0.5,,,2,296,,,developing economy,,,,
Cyprus,29.8,0.8,16,,1,571,7,93,589,529,developed economy,570863868.9,273,025,423.7,480,194,908.4,1,743
Czechia,51.3,2,158,1,095,7,500,551,45,217,937,911,developed economy,828135058.8,1,633,672,402.0,10,529,730,878.6,4,569
Germany,60.6,3.1,4,017,9,469,77,150,57,213,223,370,841,889,developed economy,53303007588.8,19,844,477,984.2,47,374,917,272.7,5,536
Denmark,56.7,2.8,143,85,3,199,1,227,14,326,669,683,developed economy,6395685614.1,1,872,194,645.3,34,212,739,239.6,7,708
Algeria,2.7,,385,,12,165,1,118,,developing economy,468636.1,122,677,213.9,75,640,098.1,
Ecuador,13.5,,164,23,22,076,509,124,665,033,developing economy,26146903.3,247,619,679.4,845,052,803.5,
